Chimney of Schilling Power Station 	722 ft 	220 m 	1962 	Chimney 	Stade 	Lower Saxony 	53°37′7.34″N 9°32′4.98″E 	demolished
Chimney of Zolling power station 	722 ft 	220 m 		Chimney 	Zolling 	Bavaria 	48°27′19.05″N 11°47′58.25″E 	
Transmitter Hoher Meisner, FM- and TV transmission mast 	722 ft 	220 m 		Guyed Mast 	Hoher Meisner 	Hesse 	51°12′26.21″N 9°50′51.64″E 	
Rimberg transmitter 	722 ft 	220 m 		Guyed Mast 	Rimberg 	Hesse 	50°47′50.63″N 9°27′40.31″E 	
Peheim transmitter 	722 ft 	220 m 		Guyed Mast 	Peheim 	Lower-Saxony 	52°53′17.47″N 7°50′59.79″E 	
Florianturm (Dortmund TV Tower) 	720 ft 	219.6 m 	1959 	Tower 	Dortmund 	Northrhine-Westphalia 	51°29′47.71″N 7°28′35.78″E 	
Heidenberg transmitter 	719 ft 	219 m 		Guyed Mast 	Schwabach 	Bavaria 	49°17′1.21″N 10°59′12.6″E 	
Transmitter Büttelberg 	719 ft 	219 m 		Guyed Mast 	Büttelberg 	Bavaria 	49°24′52.55″N 10°22′40.64″E 	
Heidelstein transmitter 	715 ft 	218 m 		Guyed Mast 	Heidelstein 	Bavaria 	50°27′38.12″N 10°0′24.39″E 	
Chimney of West Power Station 	715 ft 	218 m 	1970 	Chimney 	Voerde 	Northrhine-Westphalia 		
Fernsehturm Stuttgart 	711 ft 	216,8 m 	1956 	Tower 	Stuttgart-Degerloch 	Baden-Württemberg 	48°45′20.67″N 9°11′24.76″E 	world's first concrete TV tower
Flensburg-Jürgensby transmitter 	709 ft 	216 m 		Guyed Mast 	Flensburg-Jürgensby 	Schleswig-Holstein 	54°48′8″N 9°27′13″E 	insulated against ground, demolished in 1990
Flensburg-Engelsby transmitter 	705 ft 	215 m 		Guyed Mast 	Flensburg-Engelsby 	Schleswig-Holstein 	54°47′30.71″N 9°30′12.57″E 	grounded mast with cage antenna for MF
Fernmeldeturm Mannheim 	698 ft 	212.8 m 	1975 	Tower 	Mannheim 	Baden-Württemberg 	49°29′12.85″N 8°29′31.99″E 	
Fernmeldeturm Berlin 	696 ft 	212 m 	1964 	Tower 	Berlin 	Berlin 	52°25′3.02″N 13°07′39.92″E 	
Transmitter Hühnerberg 	696 ft 	212 m 	1985 	Guyed Mast 	Hühnerberg 	Bavaria 	48°47′8.16″N 10°40′6.05″E 	
